Juego; Calificacion Critico; Calificacion Usuario; Promedio
Layton's Mystery Journey: Katrielle and The Millionaire's Conspiracy;73;7.3;40
Miitopia: Casting Call;;7.1;0
ARMS: Max Brass;;7.3;0
Flip Wars;53;5.9;29
Kirby's Blowout Blast;69;7.0;38
The Legend of Zelda: Breath of the Wild - The Master Trials;78;7.7;42
The Legend of Zelda: Breath of the Wild - The Master Trials;;8.6;0
Ever Oasis;76;8.1;42
Fire Emblem Echoes: Shadows of Valentia - Cipher Legends I;;;0
Fire Emblem Echoes: Shadows of Valentia - Cipher Legends II;;;0
Fire Emblem Echoes: Shadows of Valentia - Cipher Companions Pack;;;0
ARMS;77;7.1;42
Fire Emblem Echoes: Shadows of Valentia - Rise of the Deliverance Pack;;;0
Fire Emblem Echoes: Shadows of Valentia - Flight from the Ruins;;;0
Fire Emblem Echoes: Shadows of Valentia - Outpost Rescue;;;0
Fire Emblem Echoes: Shadows of Valentia - Battle of Zofia Harbor;;;0
Fire Emblem Echoes: Shadows of Valentia - Siege of Zofia Castle;;;0
ARMS: Global Testpunch;;;0
Fire Emblem Echoes: Shadows of Valentia - Undaunted Heroes Pack;;;0
Fire Emblem Echoes: Shadows of Valentia - Inner Sanctum;;;0
Fire Emblem Echoes: Shadows of Valentia - Lords of the Grave;;;0
Fire Emblem Echoes: Shadows of Valentia - Lost Altars Pack;;;0
Fire Emblem Echoes: Shadows of Valentia - Wealth Before Health;;;0
Fire Emblem Echoes: Shadows of Valentia;81;8.6;44
Fire Emblem Echoes: Shadows of Valentia - Fledging Warriors Pack;;;0
Fire Emblem Echoes: Shadows of Valentia - The Astral Temple;;;0
Fire Emblem Echoes: Shadows of Valentia - Wretches and Riches;;;0
Fire Emblem Echoes: Shadows of Valentia - Band of Bandages;;;0
Mario Kart 8 Deluxe;92;8.6;50
BYE-BYE BOXBOY!;83;7.9;45
Team Kirby Clash Deluxe;57;6.5;31
Mario Sports Superstars;62;7.3;34
Splatoon 2: Global Testfire;;;0
